Data Set,Avg Accuracy with BCS,Std. Dev,Avg Accuracy without BCS,Std. Dev,Original Component Size,Component size after BCS
userknowledge, 0.908171,0.046789,0.888476,0.045088,216.000000,13.400000
waveformV1, 0.863400,0.012545,0.862400,0.015994,540.000000,6.500000
vowel, 0.979798,0.010647,0.932323,0.030508,360.000000,2.500000
userknowledge, 0.890976,0.049504,0.868537,0.042173,216.000000,10.000000
userknowledge, 0.893476,0.058166,0.871037,0.051803,216.000000,11.700000
vertebral3c, 0.848387,0.090028,0.858065,0.055248,187.200000,10.800000
vehicle, 0.815546,0.032951,0.797717,0.043734,334.800000,3.700000
vertebral2c, 0.835484,0.072051,0.838710,0.088669,180.000000,6.900000
vowel, 0.963636,0.045722,0.925253,0.033737,360.000000,3.600000
vowel, 0.969697,0.017168,0.915152,0.040179,360.000000,3.300000
waveformV1, 0.863800,0.009065,0.861000,0.008907,540.000000,3.900000
userknowledge, 0.878841,0.051328,0.883476,0.028275,216.000000,9.900000
vertebral3c, 0.825806,0.070016,0.858065,0.059286,183.600000,5.600000
vertebral3c, 0.851613,0.096415,0.864516,0.054405,183.600000,15.600000
vertebral2c, 0.819355,0.057303,0.848387,0.064606,187.200000,6.800000
vehicle, 0.789566,0.043533,0.795490,0.031125,345.600000,3.400000
vertebral2c, 0.858065,0.057303,0.851613,0.088929,180.000000,6.800000
userknowledge, 0.888537,0.063569,0.873780,0.055188,216.000000,9.200000
waveformV2, 0.861600,0.018851,0.863200,0.016144,540.000000,4.200000
vehicle, 0.804874,0.054695,0.801331,0.037783,338.400000,3.100000
vehicle, 0.806148,0.062324,0.787269,0.036425,345.600000,3.800000
vowel, 0.979798,0.010647,0.940404,0.027540,360.000000,2.100000
vertebral3c, 0.812903,0.078723,0.864516,0.054405,194.400000,5.600000
userknowledge, 0.893049,0.051764,0.873354,0.038011,216.000000,9.900000
userknowledge, 0.880854,0.068107,0.888293,0.033752,216.000000,12.600000
vertebral2c, 0.838710,0.069685,0.851613,0.043545,190.800000,10.500000
vowel, 0.966667,0.019662,0.928283,0.024022,360.000000,3.100000
vehicle, 0.797899,0.034736,0.781275,0.029920,342.000000,3.600000
vertebral3c, 0.832258,0.104029,0.854839,0.076412,187.200000,5.900000
vertebral2c, 0.825806,0.050891,0.838710,0.037248,187.200000,3.700000
userknowledge, 0.903354,0.051034,0.858476,0.029218,216.000000,10.900000
vehicle, 0.784846,0.047599,0.815574,0.037086,342.000000,3.500000
userknowledge, 0.915671,0.023783,0.890854,0.020610,216.000000,10.200000
waveformV1, 0.866600,0.013401,0.863200,0.014913,540.000000,3.900000
vowel, 0.979798,0.019633,0.928283,0.020453,360.000000,2.900000
vertebral3c, 0.858065,0.034676,0.858065,0.055248,190.800000,11.900000
vertebral2c, 0.812903,0.054405,0.845161,0.062329,187.200000,7.700000
vehicle, 0.796793,0.048945,0.800252,0.054199,331.200000,3.500000
userknowledge, 0.905732,0.038295,0.860915,0.037982,216.000000,6.200000
waveformV1, 0.860800,0.010717,0.864400,0.009131,540.000000,6.800000
vowel, 0.976768,0.013510,0.926263,0.033007,360.000000,3.000000
vertebral3c, 0.803226,0.083912,0.858065,0.050891,183.600000,7.900000
vertebral2c, 0.829032,0.064606,0.864516,0.058501,190.800000,5.700000
vehicle, 0.804902,0.025619,0.795518,0.049340,349.200000,5.100000
userknowledge, 0.888659,0.052673,0.880976,0.036134,216.000000,7.000000
twonorm, 0.976622,0.005735,0.941216,0.023434,738.000000,4.900000
transfusion, 0.760739,0.052560,0.783351,0.044333,352.800000,13.100000
twonorm, 0.975676,0.006274,0.953649,0.019448,741.600000,5.100000
transfusion, 0.756739,0.035076,0.778162,0.040971,349.200000,6.400000
twonorm, 0.976757,0.007451,0.944459,0.029459,745.200000,5.300000
twonorm, 0.974730,0.008209,0.953514,0.017296,752.400000,3.900000
transfusion, 0.759297,0.050638,0.784721,0.057584,356.400000,4.100000
transfusion, 0.772739,0.051443,0.786144,0.035805,360.000000,9.300000
thyroid, 0.995694,0.001381,0.947500,0.002684,676.800000,14.500000
teaching, 0.549583,0.136259,0.563750,0.099343,216.000000,7.300000
